DOY	Vx_mean_for_mainStem	Vx_std_for_mainStem	Senescense_add	Ambient Vcmax mean	Ambient Jmax mean	Vx_for_Br1	Vx_for_Br2	Vx_for_Br3	Vx_for_Br4	Vx_for_Br5	Vx_for_Br6
168	1.00	0.06	0.00	114.46	177.69	0.00	0.00	0.00	0.00	0.00	0.00
171	1.60	0.10	0.00	114.46	177.69	0.00	0.00	0.00	0.00	0.00	0.00
174	2.33	0.15	0.00	114.46	177.69	0.00	0.00	0.00	0.00	0.00	0.00
177	3.25	0.20	0.00	114.46	177.69	0.00	0.00	0.00	0.00	0.00	0.00
180	4.00	0.25	0.00	114.46	177.69	0.00	0.00	0.00	0.00	0.00	0.00
183	4.75	0.30	0.00	114.46	177.69	0.00	0.00	0.00	0.00	0.00	0.00
186	5.40	0.34	0.00	114.46	177.69	0.00	0.00	0.00	0.00	0.00	0.00
189	6.00	0.38	0.00	112.15	177.23	0.00	0.00	0.00	0.00	0.00	0.00
192	6.75	0.42	0.00	109.85	176.77	0.00	0.00	0.00	0.00	0.00	0.00
195	7.50	0.47	0.00	107.54	176.31	1.00	0.00	0.00	0.00	0.00	0.00
198	8.25	0.52	0.00	105.62	175.69	2.00	1.00	0.00	0.00	0.00	0.00
201	9.00	0.56	0.00	104.46	174.77	3.00	2.00	1.00	0.00	0.00	0.00
204	10.00	0.63	0.00	103.31	173.85	4.00	3.00	2.00	1.00	0.00	0.00
207	11.00	0.69	0.00	102.15	172.92	4.00	4.00	3.00	2.00	1.00	0.00
210	12.25	0.77	0.10	101.00	172.00	4.00	5.00	4.00	2.50	1.50	1.00
213	13.00	0.82	0.10	103.60	177.80	4.00	5.00	5.00	3.00	2.00	1.50
216	14.25	0.89	0.10	106.20	183.60	4.00	5.00	6.00	3.50	2.50	2.00
219	15.00	0.94	0.10	108.80	189.40	4.00	5.00	6.00	4.00	3.00	2.50
222	15.33	0.96	0.11	111.40	195.20	4.00	5.00	6.00	4.50	3.50	3.00
225	15.67	0.98	0.11	114.00	201.00	4.00	5.00	6.00	5.00	4.00	3.00
228	16.00	1.00	0.11	114.80	208.00	4.00	5.00	6.00	5.00	4.00	3.00
231	17.00	1.07	0.12	115.60	215.00	4.00	5.00	6.00	5.00	4.00	3.00
234	17.38	1.09	0.12	116.40	222.00	4.00	5.00	6.00	5.00	4.00	3.00
237	17.75	1.11	0.12	117.20	229.00	4.00	5.00	6.00	5.00	4.00	3.00
240	18.00	1.13	0.12	118.00	236.00	4.00	5.00	6.00	5.00	4.00	3.00
243	18.00	1.13	0.13	112.50	227.50	4.00	5.00	6.00	5.00	4.00	3.00
246	18.00	1.13	0.17	107.00	219.00	4.00	5.00	6.00	5.00	4.00	3.00
249	18.00	1.13	0.29	101.50	210.50	4.00	5.00	6.00	5.00	4.00	3.00
252	18.00	1.13	0.42	96.00	202.00	4.00	5.00	6.00	5.00	4.00	3.00
255	18.00	1.13	0.47	96.00	202.00	4.00	5.00	6.00	5.00	4.00	3.00
258	18.00	1.13	0.48	96.00	202.00	4.00	5.00	6.00	5.00	4.00	3.00
261	18.00	1.13	0.49	96.00	202.00	4.00	5.00	6.00	5.00	4.00	3.00
264	18.00	1.13	1.00	96.00	202.00	4.00	5.00	6.00	5.00	4.00	3.00
267	18.00	1.13	1.00	96.00	202.00	4.00	5.00	6.00	5.00	4.00	3.00
